ใน	naj˧
ซิ	siʔ˦˥
หลังจาก	laŋ˩˩˦ tɕaːk̚˨˩
ลักษณะ	lak̚˦˥ sa˨˩ naʔ˨˩
ในประเทศ	naj˧ pra˨˩ tʰeːt̚˥˩
จิ	tɕiʔ˨˩
ณ	naʔ˦˥
เร	reː˧
ฝ่าย	faːj˨˩
วิ	wiʔ˦˥
ตา	taː˧
เดิม	dɤːm˧
บ้าน	baːn˥˩
ท่าน	tʰan˥˩
ประกาศ	pra˨˩ kaːt̚˨˩
นิ	niʔ˦˥
มัน	man˧
อ	ʔɔː˧
โก	koː˧
ชิ	tɕʰiʔ˦˥
สูง	suːŋ˩˩˦
บาง	baːŋ˧
มหาวิทยาลัย	ma˦˥ haː˩˩˦ wit̚˦˥ tʰa˦˥ jaː˧ laj˧
บริเวณ	bɔː˧ ri˦˥ weːn˧
ส่ง	soŋ˨˩
อันดับ	ʔan˧ dap̚˨˩
เซ	seː˧
สำคัญ	sam˩˩˦ kʰan˧
เกม	keːm˧
ตั้งอยู่	taŋ˥˩ juː˨˩
รัฐบาล	rat̚˦˥ tʰa˨˩ baːn˧
เกี่ยวกับ	kiaw˨˩ kap̚˨˩
เจ้า	tɕaːw˥˩
รับ	rap̚˦˥
การศึกษา	kaːn˧ sɯk̚˨˩ saː˩˩˦
โค	kʰoː˧
แสดง	sa˨˩ dɛːŋ˧
ดังกล่าว	daŋ˧ klaːw˨˩
ภายใน	pʰaːj˧ naj˧
เปิด	pɤːt̚˨˩
กลับ	klap̚˨˩
ชนิด	tɕʰa˦˥ nit̚˦˥
หลัก	lak̚˨˩
อังกฤษ	ʔaŋ˧ krit̚˨˩
เห็น	hen˩˩˦
สาม	saːm˩˩˦
ฝรั่งเศส	fa˨˩ raŋ˨˩ seːt̚˨˩
โน	noː˧
รายการ	raːj˧ kaːn˧
อดีต	ʔa˨˩ diːt̚˨˩
พวก	pʰuak̚˥˩
เป็นการ	pen˧ kaːn˧
เม	meː˧
แบ่ง	bɛŋ˨˩
องค์	ʔoŋ˧
กำลัง	kam˧ laŋ˧
รูปแบบ	ruːp̚˥˩ bɛːp̚˨˩
ตั้ง	taŋ˥˩
โต	toː˧
ลี	liː˧
ฟุตบอล	fut̚˦˥ bɔn˧
ช่วย	tɕʰuaj˥˩
พรรค	pʰak̚˦˥
พวกเขา	pʰuak̚˥˩ kʰaw˩˩˦
ภาค	pʰaːk̚˥˩
รุ่น	run˥˩
เรา	raw˧
น้ำ	naːm˦˥
การเลือกตั้ง	kaːn˧ lɯak̚˥˩ taŋ˥˩
ชาติ	tɕʰaːt̚˥˩
ประวัติ	pra˨˩ wat̚˨˩
สโมสร	sa˨˩ moː˧ sɔːn˩˩˦
นอกจากนี้	nɔːk̚˥˩ tɕaːk̚˨˩ niː˦˥
ตน	ton˧
ล้าน	laːn˦˥
อัลบั้ม	ʔa˨˩ la˦˥ bam˥˩
มากกว่า	maːk̚˥˩ kwaː˨˩
อี	ʔiː˧
เดียว	diaw˧
ยุค	juk̚˦˥
วา	waː˧
กำหนด	kam˧ not̚˨˩
รวมถึง	ruam˧ tʰɯŋ˩˩˦
กลาง	klaːŋ˧
ผลงาน	pʰon˩˩˦ ŋaːn˧
เรือ	rɯa˧
ยาว	jaːw˧
ทหาร	tʰa˦˥ haːn˩˩˦
คณะ	kʰa˦˥ naʔ˦˥
จนถึง	tɕon˧ tʰɯŋ˩˩˦
รูป	ruːp̚˥˩
ผล	pʰon˩˩˦
ลีก	liːk̚˥˩
ออกจาก	ʔɔːk̚˨˩ tɕaːk̚˨˩
ครั้งแรก	kʰraŋ˦˥ rɛːk̚˥˩
เกิดขึ้น	kɤːt̚˨˩ kʰɯn˥˩
ค	kʰɔː˧
กองทัพ	kɔːŋ˧ tʰap̚˦˥
มีนาคม	miː˧ naː˧ kʰom˧
เท	tʰeː˧
บา	baː˧
ร่วม	ruam˥˩
ชั้น	tɕʰan˦˥
ยู	juː˧
สาย	saːj˩˩˦
สงคราม	soŋ˩˩˦ kʰraːm˧
ข้อมูล	kʰɔː˥˩ muːn˧
ประกอบด้วย	pra˨˩ kɔːp̚˨˩ duaj˥˩
เกาะ	kɔʔ˨˩
ปรากฏ	praː˧ kot̚˨˩
กลายเป็น	klaːj˧ pen˧
เข้ามา	kʰaw˥˩ maː˧
ตุลาคม	tu˨˩ laː˧ kʰom˧
ก็ได้	kɔː˥˩ daːj˥˩
น้อย	nɔːj˦˥
ก	kɔː˧
สิงหาคม	siŋ˩˩˦ haː˩˩˦ kʰom˧
เขียน	kʰian˩˩˦
บาท	baːt̚˨˩
ฐานะ	tʰaː˩˩˦ naʔ˦˥
ฤดูกาล	rɯ˦˥ duː˧ kaːn˧
กรกฎาคม	ka˨˩ ra˦˥ ka˨˩ daː˧ kʰom˧
ธันวาคม	tʰan˧ waː˧ kʰom˧
เมษายน	meː˧ saː˩˩˦ jon˧
อาคาร	ʔaː˧ kʰaːn˧
กันยายน	kan˧ jaː˧ jon˧
มหา	ma˦˥ haː˩˩˦
ดู	duː˧
มกราคม	mok̚˦˥ ka˨˩ raː˧ kʰom˧
ต	tɔː˧
โม	moː˧
ประเภท	pra˨˩ pʰeːt̚˥˩
อายุ	ʔaː˧ juʔ˦˥
ภาพ	pʰaːp̚˥˩
สมาชิก	sa˨˩ maː˧ tɕʰik̚˦˥
พฤษภาคม	pʰrɯt̚˦˥ sa˨˩ pʰaː˧ kʰom˧
เลือก	lɯak̚˥˩
ง	ŋɔː˧
แต่ละ	tɛː˨˩ laʔ˦˥
แทน	tʰɛːn˧
ประกอบ	pra˨˩ kɔːp̚˨˩
มัก	mak̚˦˥
ตอน	tɔːn˧
ทั้งสอง	tʰaŋ˦˥ sɔːŋ˩˩˦
ถ้า	tʰaː˥˩
เดียวกัน	diaw˧ kan˧
ทา	tʰaː˧
พัฒนา	pʰat̚˦˥ tʰa˦˥ naː˧
ติ	tiʔ˨˩
สุดท้าย	sut̚˨˩ tʰaːj˦˥
ใต้	taːj˥˩
ขนาด	kʰa˨˩ naːt̚˨˩
มิถุนายน	mi˦˥ tʰu˨˩ naː˧ jon˧
บี	biː˧
ยังมี	jaŋ˧ miː˧
ฉบับ	tɕʰa˨˩ bap̚˨˩
หา	haː˩˩˦
กีฬา	kiː˧ laː˧
เดินทาง	dɤːn˧ tʰaːŋ˧
นาง	naːŋ˧
เพิ่ม	pʰɤːm˥˩
ส่วนใหญ่	suan˨˩ jaj˨˩
เอง	ʔeːŋ˧
ออกมา	ʔɔːk̚˨˩ maː˧
เข้าร่วม	kʰaw˥˩ ruam˥˩
ช่อง	tɕʰɔŋ˥˩
พฤศจิกายน	pʰrɯt̚˦˥ sa˨˩ tɕi˨˩ kaː˧ jon˧
โด	doː˧
เหนือ	nɯa˩˩˦
ทุก	tʰuk̚˦˥
ประชากร	pra˨˩ tɕʰaː˧ kɔːn˧
ด	dɔː˧
สิ่ง	siŋ˨˩
ถนน	tʰa˨˩ non˩˩˦
ฮา	haː˧
คณะกรรมการ	kʰa˦˥ na˦˥ kam˧ ma˦˥ kaːn˧
มนุษย์	ma˦˥ nut̚˦˥
เค	kʰeː˧
ราชวงศ์	raːt̚˥˩ tɕʰa˦˥ woŋ˧
ภายใต้	pʰaːj˧ taːj˥˩
แห่งชาติ	hɛŋ˨˩ tɕʰaːt̚˥˩
ประชาชน	pra˨˩ tɕʰaː˧ tɕʰon˧
ชาย	tɕʰaːj˧
อิ	ʔiʔ˨˩
ดิ	diʔ˨˩
ขอ	kʰɔː˩˩˦
สนับสนุน	sa˨˩ nap̚˨˩ sa˨˩ nun˩˩˦
เท่านั้น	tʰaw˥˩ nan˦˥
เก	keː˧
กุมภาพันธ์	kum˧ pʰaː˧ pʰan˧
ปลา	plaː˧
บุคคล	buk̚˨˩ kʰon˧
หนังสือ	naŋ˩˩˦ sɯː˩˩˦
อาหาร	ʔaː˧ haːn˩˩˦
อีกครั้ง	ʔiːk̚˨˩ kʰroŋ˧
แนว	nɛːw˧
ช	tɕʰɔː˧
ทั่วไป	tʰua˥˩ paj˧
ย้าย	jaːj˦˥
ดา	daː˧
เต	teː˧
โล	loː˧
เสียง	siaŋ˩˩˦
ทอง	tʰɔːŋ˧
นัด	nat̚˦˥
สาขา	saː˩˩˦ kʰaː˩˩˦
กรุง	kruŋ˧
ระบุ	ra˦˥ buʔ˨˩
ศึกษา	sɯk̚˨˩ saː˩˩˦
เอา	ʔaw˧
จักรพรรดิ	tɕak̚˨˩ kra˨˩ pʰat̚˦˥
นคร	na˦˥ kʰɔːn˧
สู่	suː˨˩
หญิง	jiŋ˩˩˦
เมตร	meːt̚˦˥
โซ	soː˧
การปกครอง	kaːn˧ pok̚˨˩ kʰrɔːŋ˧
ร	rɔː˧
สุ	suʔ˨˩
ยังคง	jaŋ˧ kʰoŋ˧
มาตรา	maːt̚˥˩ traː˧
ใด	daj˧
เสียชีวิต	sia˩˩˦ tɕʰiː˧ wit̚˦˥
เหตุการณ์	heːt̚˨˩ kaːn˧
ท	tʰɔː˧
ศรี	siː˩˩˦
ที่อยู่	tʰiː˥˩ juː˨˩
ฟ	fɔː˧
รางวัล	raːŋ˧ wan˧
ชนะ	tɕʰa˦˥ naʔ˦˥
แม่น้ำ	mɛː˥˩ naːm˦˥
โท	tʰoː˧
เหล่านี้	law˨˩ niː˦˥
พระราชทาน	pʰra˦˥ raːt̚˥˩ tɕʰa˦˥ tʰaːn˧
วง	woŋ˧
อาศัย	ʔaː˧ saj˩˩˦
หน่วย	nuaj˨˩
วงศ์	woŋ˧
ร่วมกับ	ruam˥˩ kap̚˨˩
ประจำ	pra˨˩ tɕam˧
กลับมา	klap̚˨˩ maː˧
เงิน	ŋɤn˧
ชีวิต	tɕʰiː˧ wit̚˦˥
ไอ	ʔaj˧
เข้าไป	kʰaw˥˩ paj˧
รักษา	rak̚˦˥ saː˩˩˦
พระยา	pʰra˦˥ jaː˧
ตี	tiː˧
เครื่อง	kʰrɯaŋ˥˩
กิ	kiʔ˨˩
ชื่อว่า	tɕʰɯː˥˩ waː˥˩
จากนั้น	tɕaːk̚˨˩ nan˦˥
ผลิต	pʰa˨˩ lit̚˨˩
ม	mɔː˧
สูงสุด	suːŋ˩˩˦ sut̚˨˩
เด็ก	dek̚˨˩
ฮิ	hiʔ˦˥
สหรัฐ	sa˨˩ ha˨˩ rat̚˦˥
ดังนี้	daŋ˧ niː˦˥
ว	wɔː˧
หน้า	naː˥˩
อาร์	ʔaː˧
สังกัด	saŋ˩˩˦ kat̚˨˩
ประวัติศาสตร์	pra˨˩ wat̚˨˩ ti˨˩ saːt̚˨˩
โรค	roːk̚˥˩
แล	lɛː˧
โย	joː˧
จบ	tɕop̚˨˩
พา	pʰaː˧
หาก	haːk̚˨˩
ภายหลัง	pʰaːj˧ laŋ˩˩˦
แอ	ʔɛː˧
หมายถึง	maːj˩˩˦ tʰɯŋ˩˩˦
ดำรงตำแหน่ง	dam˧ roŋ˧ tam˧ nɛːŋ˨˩
กู	kuː˧
เลย	lɤːj˧
รวมทั้ง	ruam˧ tʰaŋ˦˥
อะ	ʔaʔ˨˩
กะ	kaʔ˨˩
