ฺ	truncated:<Fail>ฺ</Fail>
ฺปนฺ	truncated:<Fail>ฺปนฺ</Fail>
ทืร์ค	truncated:<Fail>ทืร์ค</Fail>
บํา	truncated:บำ
รฺ	truncated:<Fail>รฺ</Fail>
ลด์ส	truncated:ส
น่	truncated:<Fail>น่</Fail>
ค็	truncated:<Fail>ค็</Fail>
อัลลอหฺ	truncated:<Fail>อัลลอหฺ</Fail>
อฺวี้	truncated:<Fail>อฺวี้</Fail>
ฺส	truncated:<Fail>ฺส</Fail>
ฺเหวียน	truncated:<Fail>ฺเหวียน</Fail>
ยฺเหวี่ยน	truncated:<Fail>ยฺเหวี่ยน</Fail>
ปั	truncated:<Fail>ปั</Fail>
นืย	truncated:<Fail>นืย</Fail>
฿	truncated:<Fail>฿</Fail>
นั้	truncated:<Fail>นั้</Fail>
ส์เฮาฟท์	truncated:เฮาฟท์
ฺว๋	truncated:<Fail>ฺว๋</Fail>
ปญฺญา	truncated:<Fail>ปญฺญา</Fail>
ฺวี่ยน	truncated:<Fail>ฺวี่ยน</Fail>
มฺ	truncated:<Fail>มฺ</Fail>
เเล้ว	truncated:แล้ว
ญฺญ	truncated:<Fail>ญฺญ</Fail>
มํ	truncated:<Fail>มํ</Fail>
ว้	truncated:<Fail>ว้</Fail>
ร์ส	truncated:ส
ด์ส	truncated:ส
ลอหฺ	truncated:<Fail>ลอหฺ</Fail>
น์เคิส	truncated:เคิส
อตฺต	truncated:<Fail>อตฺต</Fail>
ต์ฮาร์ต	truncated:ฮาร์ต
อฺวี่	truncated:<Fail>อฺวี่</Fail>
ณฺณ	truncated:<Fail>ณฺณ</Fail>
ล็	truncated:<Fail>ล็</Fail>
วัลนืย	truncated:<Fail>วัลนืย</Fail>
ร์เน่	truncated:เน่
เพิ่อ	truncated:<Fail>เพิ่อ</Fail>
ญฺ	truncated:<Fail>ญฺ</Fail>
ทื่	truncated:<Fail>ทื่</Fail>
ฺก	truncated:<Fail>ฺก</Fail>
ฺมํ	truncated:<Fail>ฺมํ</Fail>
สพฺ	truncated:<Fail>สพฺ</Fail>
ฟาร์ฌ	inventory:bad body: 'faː-' in 'faː-˧'
น์ซัทซ์	truncated:ซัทซ์
ซ์เกิลส์	truncated:เกิลส์
ฺธ	truncated:<Fail>ฺธ</Fail>
รํ	truncated:<Fail>รํ</Fail>
อตฺ	truncated:<Fail>อตฺ</Fail>
ญัฮ	inventory:bad body: 'ja-' in 'ja-˦˥'
หํ	truncated:<Fail>หํ</Fail>
ภิกฺขเว	truncated:<Fail>ภิกฺขเว</Fail>
ฺวี่	truncated:<Fail>ฺวี่</Fail>
ฝูหรง	inventory:bad body: 'fuː-' in 'fuː-˩˩˦'
ฑฺฒ	truncated:<Fail>ฑฺฒ</Fail>
อย่	truncated:<Fail>อย่</Fail>
บั	truncated:<Fail>บั</Fail>
ม์เลอร์	truncated:เลอร์
ปญฺจ	truncated:<Fail>ปญฺจ</Fail>
ปณฺฑิ	truncated:<Fail>ปณฺฑิ</Fail>
ฺมทตฺ	truncated:<Fail>ฺมทตฺ</Fail>
ห์น	truncated:น
น้	truncated:<Fail>น้</Fail>
ขึ้	truncated:<Fail>ขึ้</Fail>
ร์เลส	truncated:เลส
ฺข	truncated:<Fail>ฺข</Fail>
น์เฟลด์	truncated:เฟลด์
พฺรหฺม	truncated:<Fail>พฺรหฺม</Fail>
ฺร	truncated:<Fail>ฺร</Fail>
ฉื่อหฺ	truncated:<Fail>ฉื่อหฺ</Fail>
เจิ้งจฺ	truncated:<Fail>เจิ้งจฺ</Fail>
เซี่ยงอฺวี่	truncated:<Fail>เซี่ยงอฺวี่</Fail>
นฺธ	truncated:<Fail>นฺธ</Fail>
ชส์ค็อม	truncated:ค็อม
ใหั	truncated:<Fail>ใหั</Fail>
ปฺ	truncated:<Fail>ปฺ</Fail>
นตฺถิ	truncated:<Fail>นตฺถิ</Fail>
จอหน์	inventory:bad body: 'tɕɔː-' in 'tɕɔː-˧'
ฉฺยง	truncated:<Fail>ฉฺยง</Fail>
ทฺธิ	truncated:<Fail>ทฺธิ</Fail>
ฺ่ว	truncated:<Fail>ฺ่ว</Fail>
คฺ	truncated:<Fail>คฺ</Fail>
ส์เซิล	truncated:เซิล
ฺทโช	truncated:<Fail>ฺทโช</Fail>
โมห	inventory:bad body: 'moː-' in 'moː-˧'
ร์ซ	truncated:ซ
ฺ์	truncated:<Fail>ฺ์</Fail>
ซึ่	truncated:<Fail>ซึ่</Fail>
ร์ฟ	truncated:ฟ
ฺป	truncated:<Fail>ฺป</Fail>
